"","Protein_ID","Species","Function","Appearances"
"3094","Q04660","Yeast","Ribosome biogenesis protein ERB1","808"
"3095","Q14137","Human","Ribosome biogenesis protein BOP1","808"
"3096","A0A087WXL6","Human","Vacuolar protein sorting-associated protein 11 homolog","809"
"3097","P12868","Yeast","E3 ubiquitin-protein ligase PEP5","809"
"3098","Q9SJ40","Arabidopsis","Vacuolar protein-sorting-associated protein 11 homolog","809"
"3099","O23712","Arabidopsis","Proteasome subunit alpha type-1-B","810"
"3100","P25786","Human","Proteasome subunit alpha type-1","810"
"3101","P34066","Arabidopsis","Proteasome subunit alpha type-1-A","810"
"3102","P40302","Yeast","Proteasome subunit alpha type-6","810"
"3103","Q04225","Yeast","Ribosome assembly protein RRB1","811"
"3104","Q9BQ67","Human","Glutamate-rich WD repeat-containing protein 1","811"
"3105","Q9ZUN8","Arabidopsis","Protein HEAT STRESS TOLERANT DWD 1","811"
"3106","A0A1I9LPI7","Arabidopsis","Sodium Bile acid symporter family","812"
"3107","Q05131","Yeast","Solute carrier RCH1","812"
"3108","Q0GE19","Human","Sodium/bile acid cotransporter 7","812"
"3109","P25298","Yeast","mRNA 3'-end-processing protein RNA14","813"
"3110","Q12996","Human","Cleavage stimulation factor subunit 3","813"
"3111","Q8GUP1","Arabidopsis","Cleavage stimulation factor subunit 77","813"
"3112","A0A5S9YGW5","Arabidopsis","TOG domain-containing protein","814"
"3113","O75533","Human","Splicing factor 3B subunit 1","814"
"3114","P49955","Yeast","U2 snRNP component HSH155","814"
"3115","P42747","Arabidopsis","Ubiquitin-conjugating enzyme E2 14","815"
"3116","P60604","Human","Ubiquitin-conjugating enzyme E2 G2","815"
"3117","Q02159","Yeast","Ubiquitin-conjugating enzyme E2 7","815"
"3118","Q42540","Arabidopsis","Ubiquitin-conjugating enzyme E2 7","815"
"3119","Q42541","Arabidopsis","Ubiquitin-conjugating enzyme E2 13","815"
"3120","O82266","Arabidopsis","Protein SLOW WALKER 1","816"
"3121","Q04305","Yeast","U3 small nucleolar RNA-associated protein 15","816"
"3122","Q8TED0","Human","U3 small nucleolar RNA-associated protein 15 homolog","816"
"3124","P54780","Yeast","Large ribosomal subunit protein eL15B","817"
"3127","A0A178UJH3","Arabidopsis","(thale cress) hypothetical protein","818"
"3128","A0A384KHS9","Arabidopsis","Cell differentiation protein RCD1 homolog","818"
"3129","P53829","Yeast","Protein CAF40","818"
"3130","Q92600","Human","CCR4-NOT transcription complex subunit 9","818"
"3131","A0A1P8BHE1","Arabidopsis","ARM repeat superfamily protein","819"
"3132","A0A286YFF8","Human","Protein MON2 homolog","819"
"3133","P48563","Yeast","Protein MON2","819"
"3134","A6NMQ1","Human","DNA polymerase","820"
"3135","P13382","Yeast","DNA polymerase alpha catalytic subunit A","820"
"3136","Q9FHA3","Arabidopsis","DNA polymerase alpha catalytic subunit","820"
"3139","P00890","Yeast","Citrate synthase, mitochondrial","821"
"3141","A0A178UPM8","Arabidopsis","(thale cress) hypothetical protein","822"
"3142","P36520","Yeast","Large ribosomal subunit protein uL15m","822"
"3143","Q9P015","Human","Large ribosomal subunit protein uL15m","822"
"3144","A0A5S9YJ57","Arabidopsis","Ribosomal protein S12","823"
"3145","O15235","Human","Small ribosomal subunit protein uS12m","823"
"3146","P53732","Yeast","Small ribosomal subunit protein uS12m","823"
"3147","P92532","Arabidopsis","Small ribosomal subunit protein uS12m","823"
"3148","O22254","Arabidopsis","Large ribosomal subunit protein eL18z","824, 898"
"3149","P0CX49","Yeast","Large ribosomal subunit protein eL18A","824, 898"
"3150","P42791","Arabidopsis","Large ribosomal subunit protein eL18y","824, 898"
"3151","Q07020","Human","Large ribosomal subunit protein eL18","824, 898"
"3152","Q940B0","Arabidopsis","Large ribosomal subunit protein eL18x","824, 898"
"3153","A0A178WAJ0","Arabidopsis","(thale cress) hypothetical protein","825"
"3154","A0A384KJM4","Arabidopsis","Integral membrane HRF1 family protein","825"
"3155","P53845","Yeast","Protein transport protein YIF1","825"
"3156","Q5BJH7","Human","Protein YIF1B","825"
"3157","P53946","Yeast","Actin-related protein 5","826"
"3158","Q940Z2","Arabidopsis","Actin-related protein 5","826"
"3159","Q9H9F9","Human","Actin-related protein 5","826"
"3160","P53633","Yeast","Prenylated Rab acceptor 1","827"
"3161","Q9C889","Arabidopsis","PRA1 family protein F2","827"
"3162","Q9UI14","Human","Prenylated Rab acceptor protein 1","827"
"3165","P51401","Yeast","Large ribosomal subunit protein uL6B","828"
"3167","A0A178WNE7","Arabidopsis","(thale cress) hypothetical protein","829"
"3168","A0A1P8AS08","Arabidopsis","Mitochondrial substrate carrier family protein","829"
"3169","F4HT41","Arabidopsis","Probable S-adenosylmethionine carrier 2, chloroplastic","829"
"3170","O64731","Arabidopsis","Mitochondrial substrate carrier family protein","829"
"3171","P38921","Yeast","Putative mitochondrial carrier protein PET8","829"
"3172","Q70HW3","Human","Mitochondrial S-adenosylmethionine carrier protein","829"
"3173","Q94AG6","Arabidopsis","S-adenosylmethionine carrier 1, chloroplastic/mitochondrial","829"
"3174","P53954","Yeast","GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase","830"
"3175","Q2TAA5","Human","GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase","830"
"3176","Q9XEE9","Arabidopsis","GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase","830"
"3177","O75792","Human","Ribonuclease H2 subunit A","831"
"3178","P53942","Yeast","Ribonuclease H2 subunit A","831"
"3179","Q9SEZ6","Arabidopsis","Ribonuclease H2 subunit A","831"
"3180","P33309","Yeast","Protein DOM34","832"
"3181","Q9BRX2","Human","Protein pelota homolog","832"
"3182","Q9M2H7","Arabidopsis","Protein PELOTA 2","832"
"3183","Q9ZT87","Arabidopsis","Protein PELOTA 1","832"
"3184","P40344","Yeast","Autophagy-related protein 3","833"
"3185","Q0WWQ1","Arabidopsis","Autophagy-related protein 3","833"
"3186","Q9NT62","Human","Ubiquitin-like-conjugating enzyme ATG3","833"
"3187","A0A178UA21","Arabidopsis","Protein kish","834"
"3188","Q8TBQ9","Human","Protein kish-A","834"
"3189","Q8TGJ3","Yeast","Protein Kish","834"
"3190","P10515","Human","Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial","835"
"3191","P12695","Yeast","Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial","835"
"3192","Q0WQF7","Arabidopsis","Dihydrolipoyllysine-residue acetyltransferase component 1 of pyruvate dehydrogenase complex, mitochondrial","835"
"3193","Q5M729","Arabidopsis","Dihydrolipoyllysine-residue acetyltransferase component 3 of pyruvate dehydrogenase complex, mitochondrial","835"
"3194","Q8RWN9","Arabidopsis","Dihydrolipoyllysine-residue acetyltransferase component 2 of pyruvate dehydrogenase complex, mitochondrial","835"
"3195","F4J5D3","Arabidopsis","KRR1 family protein","836"
"3196","P42846","Yeast","Protein KRI1","836"
"3197","Q8N9T8","Human","Protein KRI1 homolog","836"
"3199","P53757","Yeast","Uncharacterized isomerase YNR071C","837"
"3202","P53738","Yeast","Multifunctional methyltransferase subunit TRM112","838"
"3203","Q8LFJ5","Arabidopsis","Multifunctional methyltransferase subunit TRM112 homolog A","838"
"3204","Q9C9R3","Arabidopsis","Multifunctional methyltransferase subunit TRM112 homolog B","838"
"3205","Q9UI30","Human","Multifunctional methyltransferase subunit TRM112-like protein","838"
"3206","O76062","Human","Delta(14)-sterol reductase TM7SF2","839"
"3207","P32462","Yeast","Delta(14)-sterol reductase ERG24","839"
"3208","Q14739","Human","Delta(14)-sterol reductase LBR","839"
"3209","Q9LDR4","Arabidopsis","Delta(14)-sterol reductase","839"
"3210","A0A178WDJ3","Arabidopsis","IMP4","840"
"3211","P53941","Yeast","U3 small nucleolar ribonucleoprotein protein IMP4","840"
"3212","Q96G21","Human","U3 small nucleolar ribonucleoprotein protein IMP4","840"
"3213","F4JC31","Arabidopsis","Binding protein","841"
"3214","P40164","Yeast","Serine/threonine-protein phosphatase 4 regulatory subunit 3","841"
"3215","Q5MIZ7","Human","Serine/threonine-protein phosphatase 4 regulatory subunit 3B","841"
"3216","Q6IN85","Human","Serine/threonine-protein phosphatase 4 regulatory subunit 3A","841"
"3217","Q6ZMV5","Human","Protein PPP4R3C","841"
"3219","P50278","Yeast","6-phosphogluconolactonase-like protein 1","842"
"3223","Q6Q546","Yeast","Ubiquitin-like modifier HUB1","843"
"3224","Q9BZL1","Human","Ubiquitin-like protein 5","843"
"3225","Q9FGZ9","Arabidopsis","Ubiquitin-like protein 5","843"
"3226","Q9M1U1","Arabidopsis","Ubiquitin-like superfamily protein","843"
"3227","P05750","Yeast","Small ribosomal subunit protein uS3","844"
"3228","P23396","Human","Small ribosomal subunit protein uS3","844"
"3229","Q9FJA6","Arabidopsis","Small ribosomal subunit protein uS3x","844"
"3230","Q9M339","Arabidopsis","Small ribosomal subunit protein uS3y","844"
"3231","Q9SIP7","Arabidopsis","Small ribosomal subunit protein uS3z","844"
"3232","A0A1I9LME2","Arabidopsis","Diphosphomevalonate decarboxylase","845"
"3233","O23722","Arabidopsis","Diphosphomevalonate decarboxylase MVD1, peroxisomal","845"
"3234","P32377","Yeast","Diphosphomevalonate decarboxylase","845"
"3235","P53602","Human","Diphosphomevalonate decarboxylase","845"
"3236","A0A178WI11","Arabidopsis","H/ACA ribonucleoprotein complex non-core subunit NAF1","846"
"3237","P53919","Yeast","H/ACA ribonucleoprotein complex non-core subunit NAF1","846"
"3238","Q96HR8","Human","H/ACA ribonucleoprotein complex non-core subunit NAF1","846"
"3239","P15927","Human","Replication protein A 32 kDa subunit","847"
"3240","P26754","Yeast","Replication factor A protein 2","847"
"3241","Q13156","Human","Replication protein A 30 kDa subunit","847"
"3242","Q9ZQ19","Arabidopsis","Replication protein A 32 kDa subunit A","847"
"3243","A0A654F9U8","Arabidopsis","Tr-type G domain-containing protein","848"
"3244","P53893","Yeast","Ribosome assembly protein 1","848"
"3245","Q7Z2Z2","Human","Elongation factor-like GTPase 1","848"
"3246","P38629","Yeast","Replication factor C subunit 3","849"
"3247","P40937","Human","Replication factor C subunit 5","849"
"3248","Q9CAQ8","Arabidopsis","Replication factor C subunit 5","849"
"3249","A0A1W2PQ90","Human","Zinc-hook domain-containing protein","850"
"3250","P12753","Yeast","DNA repair protein RAD50","850"
"3251","Q92878","Human","DNA repair protein RAD50","850"
"3252","Q9SL02","Arabidopsis","DNA repair protein RAD50","850"
"3253","P53863","Yeast","J protein JJJ1","851"
"3254","Q5F1R6","Human","DnaJ homolog subfamily C member 21","851"
"3255","Q9C911","Arabidopsis","DNAJ protein JJJ1 homolog","851"
"3256","A6XGZ7","Arabidopsis","Putative Werner helicase-interacting protein (Fragment)","852"
"3257","P40151","Yeast","DNA-dependent ATPase MGS1","852"
"3258","Q96S55","Human","ATPase WRNIP1","852"
"3259","P53628","Yeast","Transcription regulatory protein SNF12","853"
"3260","Q6STE5","Human","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 3","853"
"3261","Q92925","Human","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2","853"
"3262","Q96GM5","Human","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1","853"
"3263","Q9FMT4","Arabidopsis","SWI/SNF complex component SNF12 homolog","853"
"3265","P53953","Yeast","SED5-binding protein 2","854"
"3267","F4IIK6","Arabidopsis","Non-functional target of rapamycin complex subunit LST8-2","855"
"3268","P41318","Yeast","Target of rapamycin complex subunit LST8","855"
"3269","Q9BVC4","Human","Target of rapamycin complex subunit LST8","855"
"3270","Q9LV27","Arabidopsis","Target of rapamycin complex subunit LST8-1","855"
"3271","A8MR93","Arabidopsis","Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase","856"
"3272","P53730","Yeast","Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase","856"
"3273","Q9BV10","Human","Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase","856"
"3274","P53972","Yeast","25S rRNA (cytosine(2278)-C(5))-methyltransferase","857"
"3275","Q8GYE8","Arabidopsis","25S rRNA (cytosine-C(5))-methyltransferase NSUN5","857"
"3276","Q96P11","Human","28S rRNA (cytosine-C(5))-methyltransferase","857"
"3277","A0A1P8B2B9","Arabidopsis","DNA polymerase epsilon catalytic subunit","858"
"3278","F4HW04","Arabidopsis","DNA polymerase epsilon catalytic subunit A","858"
"3279","P21951","Yeast","DNA polymerase epsilon catalytic subunit A","858"
"3280","Q07864","Human","DNA polymerase epsilon catalytic subunit A","858"
"3281","P23503","Yeast","Cytosolic Fe-S cluster assembly factor NAR1","859"
"3282","Q94CL6","Arabidopsis","Protein NAR1","859"
"3283","Q9H6Q4","Human","Cytosolic iron-sulfur assembly component 3","859"
"3284","A0A178W5Z2","Arabidopsis","CobW C-terminal domain-containing protein","860"
"3285","P53729","Yeast","Zinc-regulated GTPase metalloprotein activator 1","860"
"3286","Q4V339","Human","Zinc-regulated GTPase metalloprotein activator 1F","860"
"3287","Q5JTY5","Human","Zinc-regulated GTPase metalloprotein activator 1C","860"
"3288","Q5RIA9","Human","Zinc-regulated GTPase metalloprotein activator 1E","860"
"3289","Q8IUF1","Human","Zinc-regulated GTPase metalloprotein activator 1B","860"
"3290","Q9BRT8","Human","Zinc-regulated GTPase metalloprotein activator 1A","860"
"3291","F4IPK2","Arabidopsis","Transcription initiation factor TFIID subunit 14","861"
"3292","O95619","Human","YEATS domain-containing protein 4","861"
"3293","P53930","Yeast","Protein AF-9 homolog","861"
"3294","P53971","Yeast","FKBP12-associated protein 1","862"
"3295","Q12986","Human","Transcriptional repressor NF-X1","862"
"3296","Q9SY59","Arabidopsis","NF-X1-type zinc finger protein NFXL1","862"
"3297","P53900","Yeast","Prefoldin subunit 4","863"
"3298","Q9M4B5","Arabidopsis","Prefoldin subunit 4","863"
"3299","Q9NQP4","Human","Prefoldin subunit 4","863"
"3300","B3H4G2","Arabidopsis","DNA topoisomerase 2","864"
"3301","P06786","Yeast","DNA topoisomerase 2","864"
"3302","P11388","Human","DNA topoisomerase 2-alpha","864"
"3303","Q02880","Human","DNA topoisomerase 2-beta","864"
"3304","P32573","Yeast","Peroxisomal 2,4-dienoyl-CoA reductase SPS19 [(3E)-enoyl-CoA-producing]","865"
"3305","Q9LTV6","Arabidopsis","Peroxisomal 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing]","865"
"3306","Q9NUI1","Human","Peroxisomal 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing]","865"
"3307","P53905","Yeast","U6 snRNA-associated Sm-like protein LSm7","866"
"3308","Q9SI54","Arabidopsis","Sm-like protein LSM7","866"
"3309","Q9UK45","Human","U6 snRNA-associated Sm-like protein LSm7","866"
"3310","P53889","Yeast","Oxaloacetate tautomerase FMP41, mitochondrial","867"
"3311","Q6P587","Human","Oxaloacetate tautomerase FAHD1, mitochondrial","867"
"3312","Q9LUR3","Arabidopsis","Oxaloacetate tautomerase FAHD2, mitochondrial","867"
"3313","A0A1W2PR75","Human","RNA polymerase II subunit A C-terminal domain phosphatase SSU72 like protein 6",""
"3314","P53538","Yeast","RNA polymerase II subunit A C-terminal domain phosphatase SSU72",""
"3315","Q9NP77","Human","RNA polymerase II subunit A C-terminal domain phosphatase SSU72",""
"3316","P26785","Yeast","Large ribosomal subunit protein uL13B","869"
"3322","O65902","Arabidopsis","Cyclase-associated protein 1","870"
"3323","P17555","Yeast","Adenylyl cyclase-associated protein","870"
"3324","P40123","Human","Adenylyl cyclase-associated protein 2","870"
"3325","Q01518","Human","Adenylyl cyclase-associated protein 1","870"
"3326","P07281","Yeast","Small ribosomal subunit protein eS19B","871"
"3327","P39019","Human","Small ribosomal subunit protein eS19","871, 990"
"3328","Q9FNP8","Arabidopsis","Small ribosomal subunit protein eS19x","871, 990"
"3329","Q9LF30","Arabidopsis","Small ribosomal subunit protein eS19y","871, 990"
"3330","Q9SGA6","Arabidopsis","Small ribosomal subunit protein eS19z","871, 990"
"3331","P09960","Human","Leukotriene A-4 hydrolase","872"
"3332","Q10740","Yeast","Leucine aminopeptidase 2","872"
"3333","Q9FY49","Arabidopsis","Leucine aminopeptidase","872"
"3334","P11412","Yeast","Glucose-6-phosphate 1-dehydrogenase","873"
"3335","P11413","Human","Glucose-6-phosphate 1-dehydrogenase","873"
"3336","Q43727","Arabidopsis","Glucose-6-phosphate 1-dehydrogenase 1, chloroplastic","873"
"3337","Q8L743","Arabidopsis","Glucose-6-phosphate 1-dehydrogenase 3, chloroplastic","873"
"3338","Q9FJI5","Arabidopsis","Glucose-6-phosphate 1-dehydrogenase 6, cytoplasmic","873"
"3339","Q9FY99","Arabidopsis","Glucose-6-phosphate 1-dehydrogenase 2, chloroplastic","873"
"3340","Q9LK23","Arabidopsis","Glucose-6-phosphate 1-dehydrogenase 5, cytoplasmic","873"
"3341","P24783","Yeast","ATP-dependent RNA helicase DBP2","874"
"3342","Q92841","Human","Probable ATP-dependent RNA helicase DDX17","874"
"3343","Q9C718","Arabidopsis","DEAD-box ATP-dependent RNA helicase 20","874"
"3344","P14242","Yeast","DNA mismatch repair protein PMS1","875"
"3345","P54278","Human","Mismatch repair endonuclease PMS2","875"
"3346","Q941I6","Arabidopsis","DNA mismatch repair protein PMS1","875"
"3347","O65583","Arabidopsis","Uridine kinase-like protein 4","876"
"3348","P27515","Yeast","Uridine kinase","876"
"3349","Q8VYB2","Arabidopsis","Uridine kinase-like protein 3","876"
"3350","Q9FKS0","Arabidopsis","Uridine/cytidine kinase UKL1, chloroplastic","876"
"3351","Q9LK34","Arabidopsis","Uridine/cytidine kinase UKL1, chloroplastic","876"
"3352","Q9LTY6","Arabidopsis","Uridine kinase-like protein 5","876"
"3353","Q9NWZ5","Human","Uridine-cytidine kinase-like 1","876"
"3354","P32074","Yeast","Coatomer subunit gamma","877"
"3355","Q0WW26","Arabidopsis","Coatomer subunit gamma","877"
"3356","Q9UBF2","Human","Coatomer subunit gamma-2","877"
"3357","Q9Y678","Human","Coatomer subunit gamma-1","877"
"3358","P48164","Yeast","Small ribosomal subunit protein eS7B","878"
"3359","P62081","Human","Small ribosomal subunit protein eS7","878, 1001"
"3360","Q8LD03","Arabidopsis","Small ribosomal subunit protein eS7x","878, 1001"
"3361","Q9C514","Arabidopsis","Small ribosomal subunit protein eS7z","878, 1001"
"3362","Q9M885","Arabidopsis","Small ribosomal subunit protein eS7y","878, 1001"
"3363","P53914","Yeast","RNA cytidine acetyltransferase","879"
"3364","Q9H0A0","Human","RNA cytidine acetyltransferase","879"
"3365","Q9M2Q4","Arabidopsis","RNA cytidine acetyltransferase 2","879"
"3366","Q9XIK4","Arabidopsis","RNA cytidine acetyltransferase 1","879"
"3368","P53727","Yeast","Putative pyridoxal kinase BUD17","880"
"3370","A0A1P8ANC0","Arabidopsis","Hydroxypyruvate reductase","881"
"3371","A0A654FCS2","Arabidopsis","Glycerate dehydrogenase","881"
"3372","F4IBQ3","Arabidopsis","D-isomer specific 2-hydroxyacid dehydrogenase family protein","881"
"3373","P53839","Yeast","Glyoxylate reductase 1","881"
"3374","Q9CA90","Arabidopsis","Glyoxylate/hydroxypyruvate reductase A HPR2","881"
"3375","Q9LE33","Arabidopsis","Glyoxylate/hydroxypyruvate reductase HPR3","881"
"3376","Q9UBQ7","Human","Glyoxylate reductase/hydroxypyruvate reductase","881"
"3377","O15144","Human","Actin-related protein 2/3 complex subunit 2","882"
"3378","P53731","Yeast","Actin-related protein 2/3 complex subunit 2","882"
"3379","Q8LGI3","Arabidopsis","Actin-related protein 2/3 complex subunit 2A","882"
"3380","P42840","Yeast","Uncharacterized membrane protein YNL320W","883"
"3381","Q7L211","Human","Protein ABHD13","883"
"3382","Q8RXP6","Arabidopsis","Alpha/beta hydrolase domain-containing protein WAV2","883"
"3383","O80846","Arabidopsis","tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6","884"
"3384","P41814","Yeast","tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6","884"
"3385","Q9UJA5","Human","tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6","884"
"3386","A0A6Q8PF04","Human","FIG4 phosphoinositide 5-phosphatase (Fragment)","885"
"3387","F4IXV2","Arabidopsis","Phosphoinositide phosphatase family protein","885"
"3388","P42837","Yeast","Polyphosphoinositide phosphatase","885"
"3389","Q7XZU1","Arabidopsis","Phosphoinositide phosphatase SAC4","885"
"3390","Q7XZU3","Arabidopsis","Phosphatidylinositol-3-phosphatase SAC1","885"
"3391","Q8RW97","Arabidopsis","Phosphoinositide phosphatase SAC5","885"
"3392","Q94A27","Arabidopsis","Phosphoinositide phosphatase SAC2","885"
"3393","P20081","Yeast","FK506-binding protein 1","886"
"3394","P62942","Human","Peptidyl-prolyl cis-trans isomerase FKBP1A","886"
"3395","P68106","Human","Peptidyl-prolyl cis-trans isomerase FKBP1B","886"
"3396","Q5VVH2","Human","Peptidyl-prolyl cis-trans isomerase FKBP1C","886"
"3397","Q8LGG0","Arabidopsis","Peptidyl-prolyl cis-trans isomerase FKBP12","886"
"3398","P30520","Human","Adenylosuccinate synthetase isozyme 2","887"
"3399","P80210","Yeast","Adenylosuccinate synthetase","887"
"3400","Q8N142","Human","Adenylosuccinate synthetase isozyme 1","887"
"3401","Q96529","Arabidopsis","Adenylosuccinate synthetase, chloroplastic","887"
"3402","A0A384KJP0","Arabidopsis","(thale cress) hypothetical protein","888"
"3403","P53875","Yeast","Large ribosomal subunit protein uL11m","888"
"3404","Q9Y3B7","Human","Large ribosomal subunit protein uL11m","888"
"3405","P53868","Yeast","Alpha-1,2-mannosyltransferase ALG9","889"
"3406","Q9FZ49","Arabidopsis","Alpha-1,2-mannosyltransferase ALG9","889"
"3407","Q9H6U8","Human","Alpha-1,2-mannosyltransferase ALG9","889"
"3408","P32836","Yeast","GTP-binding nuclear protein GSP2/CNR2","890"
"3413","P39744","Yeast","Nucleolar complex protein 2","891"
"3414","Q0WVH0","Arabidopsis","Protein REBELOTE","891"
"3415","Q9Y3T9","Human","Nucleolar complex protein 2 homolog","891"
"3416","Q9ZPV5","Arabidopsis","Nucleolar complex-associated protein 2","891"
"3417","A0A1I9LME9","Arabidopsis","DNA-directed RNA polymerase subunit","892"
"3418","O95602","Human","DNA-directed RNA polymerase I subunit RPA1","892"
"3419","P10964","Yeast","DNA-directed RNA polymerase I subunit RPA190","892"
"3420","O94829","Human","Importin-13","893"
"3421","Q8GUL2","Arabidopsis","Transportin MOS14","893"
"3422","Q99189","Yeast","mRNA transport regulator MTR10","893"
"3423","Q9Y5L0","Human","Transportin-3","893"
"3424","A0A178UI53","Arabidopsis","(thale cress) hypothetical protein","894"
"3425","Q12017","Yeast","Phosducin-like protein 2","894"
"3426","Q8N4E4","Human","Phosducin-like protein 2","894"
"3427","Q9H2J4","Human","Phosducin-like protein 3","894"
"3428","P17707","Human","S-adenosylmethionine decarboxylase proenzyme","895"
"3429","P21182","Yeast","S-adenosylmethionine decarboxylase proenzyme","895"
"3430","Q3E9D5","Arabidopsis","S-adenosylmethionine decarboxylase proenzyme 4","895"
"3431","Q96286","Arabidopsis","S-adenosylmethionine decarboxylase proenzyme 1","895"
"3432","Q9LSU6","Arabidopsis","S-adenosylmethionine decarboxylase proenzyme 3","895"
"3433","Q9S7T9","Arabidopsis","S-adenosylmethionine decarboxylase proenzyme 2","895"
"3434","A0A5S9XFT6","Arabidopsis","Ribosomal RNA large subunit methyltransferase K/L-like methyltransferase domain-containing protein","896"
"3435","Q12463","Yeast","tRNA (guanine(10)-N(2))-methyltransferase","896"
"3436","Q7Z4G4","Human","tRNA (guanine(10)-N(2))-methyltransferase homolog","896"
"3437","A8MR96","Arabidopsis","GTP binding protein beta 1","897"
"3438","P18851","Yeast","Guanine nucleotide-binding protein subunit beta","897"
"3439","P62873","Human","Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1","897"
"3440","P62879","Human","Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2","897"
"3441","Q9HAV0","Human","Guanine nucleotide-binding protein subunit beta-4","897"
"3447","O00401","Human","Actin nucleation-promoting factor WASL","899"
"3448","P42768","Human","Actin nucleation-promoting factor WAS","899"
"3449","Q12446","Yeast","Proline-rich protein LAS17","899"
"3450","Q9LV14","Arabidopsis","Protein EARLY FLOWERING 5","899"
"3451","P36428","Arabidopsis","Alanine--tRNA ligase","900"
"3452","P40825","Yeast","Alanine--tRNA ligase, mitochondrial","900"
"3453","P49588","Human","Alanine--tRNA ligase, cytoplasmic","900"
"3454","O23710","Arabidopsis","Proteasome subunit beta type-7-A","901"
"3455","P25043","Yeast","Proteasome subunit beta type-2","901"
"3456","Q7DLS1","Arabidopsis","Proteasome subunit beta type-7-B","901"
"3457","Q99436","Human","Proteasome subunit beta type-7","901"
"3458","Q12239","Yeast","Transmembrane protein 115 homolog","902"
"3459","Q12893","Human","Transmembrane protein 115","902"
"3460","Q8LF05","Arabidopsis","Rhomboid-like protein 19","902"
"3461","F4KD38","Arabidopsis","DNA-directed RNA polymerase III subunit 2","903"
"3462","P22276","Yeast","DNA-directed RNA polymerase III subunit RPC2","903"
"3463","Q9NW08","Human","DNA-directed RNA polymerase III subunit RPC2","903"
"3464","E2QRJ6","Human","RNA polymerase II subunit J3","904"
"3465","P38902","Yeast","DNA-directed RNA polymerase II subunit RPB11","904"
"3466","P52435","Human","DNA-directed RNA polymerase II subunit RPB11-a","904"
"3467","Q38859","Arabidopsis","DNA-directed RNA polymerases II, IV and V subunit 11","904"
"3468","Q9GZM3","Human","DNA-directed RNA polymerase II subunit RPB11-b1","904"
"3469","Q08204","Yeast","Structural maintenance of chromosomes protein 5","905"
"3470","Q8IY18","Human","Structural maintenance of chromosomes protein 5","905"
"3471","Q9LFS8","Arabidopsis","Structural maintenance of chromosomes protein 5","905"
"3472","P05319","Yeast","Large ribosomal subunit protein P2A","906"
"3479","O24617","Arabidopsis","DNA mismatch repair protein MSH2","907"
"3480","P25847","Yeast","DNA mismatch repair protein MSH2","907"
"3481","P43246","Human","DNA mismatch repair protein Msh2","907"
"3482","O15523","Human","ATP-dependent RNA helicase DDX3Y","908, 1095"
"3483","P06634","Yeast","ATP-dependent RNA helicase DED1","908"
"3484","Q84W89","Arabidopsis","DEAD-box ATP-dependent RNA helicase 37","908, 1095"
"3485","Q8LA13","Arabidopsis","DEAD-box ATP-dependent RNA helicase 11","908, 1095"
"3486","Q9M2F9","Arabidopsis","DEAD-box ATP-dependent RNA helicase 52","908, 1095"
"3487","Q02792","Yeast","5'-3' exoribonuclease 2","909"
"3488","Q9FQ02","Arabidopsis","5'-3' exoribonuclease 2","909"
"3489","Q9FQ03","Arabidopsis","5'-3' exoribonuclease 3","909"
"3490","Q9H0D6","Human","5'-3' exoribonuclease 2","909"
"3491","A0A178UZU6","Arabidopsis","Small nuclear ribonucleoprotein E","910"
"3492","A0A5S9WZ35","Arabidopsis","Small nuclear ribonucleoprotein E","910"
"3493","P62304","Human","Small nuclear ribonucleoprotein E","910"
"3494","Q12330","Yeast","Small nuclear ribonucleoprotein E","910"
"3495","A0A178VLD7","Arabidopsis","CTEXP","911"
"3496","Q12453","Yeast","Cytoplasmic export protein 1","911"
"3497","Q96KG9","Human","N-terminal kinase-like protein","911"
"3498","Q12196","Yeast","Serine/threonine-protein kinase RIO1","912"
"3499","Q9BRS2","Human","Serine/threonine-protein kinase RIO1","912"
"3500","Q9FHT0","Arabidopsis","Serine/threonine-protein kinase RIO1","912"
